scenario_id,episode_index,scenario_seed,found,success,contact,found_step,remaining_steps,executor_x_at_found,executor_y_at_found,executor_z_at_found,target_x_at_found,target_y_at_found,target_z_at_found,executor_target_distance_3d_at_found,executor_target_distance_xy_at_found,executor_target_abs_dz_at_found,target_speed_at_found,handoff_step,executor_received_target_step,handoff_delay_steps,executor_receive_delay,first_contact_step,found_to_contact_steps,source_handoff_delay,distance_source,handoff_step_source
unknown_validation_m20_0041,40,1769,True,True,True,95,305,NA,NA,NA,NA,NA,NA,5.071790427219306,NA,NA,NA,95,96,0,1,134,39,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0043,42,1771,True,True,True,115,285,NA,NA,NA,NA,NA,NA,4.4661933464479215,NA,NA,NA,115,116,0,1,174,59,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0045,44,1773,True,True,True,1,399,NA,NA,NA,NA,NA,NA,15.429785519719461,NA,NA,NA,1,2,0,1,243,242,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0048,47,1776,True,True,True,46,354,NA,NA,NA,NA,NA,NA,6.983572064858381,NA,NA,NA,46,47,0,1,96,50,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0049,48,1777,True,False,False,265,135,NA,NA,NA,NA,NA,NA,7.048460594354138,NA,NA,NA,265,266,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0050,49,1778,True,True,True,1,399,NA,NA,NA,NA,NA,NA,12.92223614669321,NA,NA,NA,1,2,0,1,278,277,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0051,50,1779,True,False,False,398,2,NA,NA,NA,NA,NA,NA,7.559579280539819,NA,NA,NA,398,399,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0053,52,1781,True,True,True,159,241,NA,NA,NA,NA,NA,NA,11.231980974353467,NA,NA,NA,159,160,0,1,264,105,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0054,53,1782,True,False,False,369,31,NA,NA,NA,NA,NA,NA,5.0038879873553554,NA,NA,NA,369,370,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0055,54,1783,True,True,True,73,327,NA,NA,NA,NA,NA,NA,7.594854916914961,NA,NA,NA,73,74,0,1,174,101,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0058,57,1786,True,True,True,321,79,NA,NA,NA,NA,NA,NA,4.377949364848172,NA,NA,NA,321,322,0,1,344,23,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0059,58,1787,True,True,True,48,352,NA,NA,NA,NA,NA,NA,5.232316486744897,NA,NA,NA,48,49,0,1,87,39,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0061,60,1789,True,True,True,43,357,NA,NA,NA,NA,NA,NA,0.666798523428683,NA,NA,NA,43,44,0,1,44,1,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0062,61,1790,True,True,True,81,319,NA,NA,NA,NA,NA,NA,2.208170605259936,NA,NA,NA,81,82,0,1,103,22,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0063,62,1791,True,False,False,362,38,NA,NA,NA,NA,NA,NA,6.021684863481797,NA,NA,NA,362,363,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0064,63,1792,True,True,True,22,378,NA,NA,NA,NA,NA,NA,5.543299280847095,NA,NA,NA,22,23,0,1,43,21,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0065,64,1793,True,True,True,3,397,NA,NA,NA,NA,NA,NA,8.555596270268483,NA,NA,NA,3,4,0,1,269,266,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0066,65,1794,True,True,True,71,329,NA,NA,NA,NA,NA,NA,4.943591460561078,NA,NA,NA,71,72,0,1,106,35,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0069,68,1797,True,False,False,4,396,NA,NA,NA,NA,NA,NA,13.641818900019384,NA,NA,NA,4,5,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0073,72,1801,True,False,False,108,292,NA,NA,NA,NA,NA,NA,3.2927055253899193,NA,NA,NA,108,109,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0078,77,1806,True,False,False,30,370,NA,NA,NA,NA,NA,NA,2.6891074785494116,NA,NA,NA,30,31,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0081,80,1809,True,False,False,219,181,NA,NA,NA,NA,NA,NA,6.066189915914611,NA,NA,NA,219,220,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0082,81,1810,True,True,True,1,399,NA,NA,NA,NA,NA,NA,5.92689043546781,NA,NA,NA,1,2,0,1,223,222,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0083,82,1811,True,True,True,24,376,NA,NA,NA,NA,NA,NA,2.9242920976238165,NA,NA,NA,24,25,0,1,319,295,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0084,83,1812,True,True,True,40,360,NA,NA,NA,NA,NA,NA,1.3115681621122892,NA,NA,NA,40,41,0,1,262,222,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0086,85,1814,True,False,False,208,192,NA,NA,NA,NA,NA,NA,7.088023983999288,NA,NA,NA,208,209,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0087,86,1815,True,True,True,1,399,NA,NA,NA,NA,NA,NA,6.7876215744296235,NA,NA,NA,1,2,0,1,105,104,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0088,87,1816,True,True,True,282,118,NA,NA,NA,NA,NA,NA,2.86463888657627,NA,NA,NA,282,283,0,1,295,13,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0089,88,1817,True,False,False,208,192,NA,NA,NA,NA,NA,NA,5.951171676899356,NA,NA,NA,208,209,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0090,89,1818,True,False,False,241,159,NA,NA,NA,NA,NA,NA,11.64846896539492,NA,NA,NA,241,242,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0097,96,1825,True,False,False,321,79,NA,NA,NA,NA,NA,NA,6.891696114827289,NA,NA,NA,321,322,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0098,97,1826,True,False,False,234,166,NA,NA,NA,NA,NA,NA,7.321193212455294,NA,NA,NA,234,235,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0100,99,1828,True,False,False,37,363,NA,NA,NA,NA,NA,NA,3.4641338790104004,NA,NA,NA,37,38,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
